"Label (Grouping)","Workers 16 years and over","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Drove alone","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 2-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 3-person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Carpooled!!In 4-or-more person carpool","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Car, truck, or van!!Workers per car, truck, or van","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Public transportation (excluding taxicab)","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Walked","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Bicycle","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Taxicab, motorcycle, or other means","Workers 16 years and over!!MEANS OF TRANSPORTATION TO WORK!!Worked from home","Workers 16 years and over!!PLACE OF WORK","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence","Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked in place of residence","Workers 16 years and over!!PLACE OF WORK!!Living in a place!!Worked outside place of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in a place","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked in minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Living in 12 selected states!!Worked outside minor civil division of residence","Workers 16 years and over!!PLACE OF WORK!!Not living in 12 selected states","Workers 16 years and over who did not work from home","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m.","Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m.","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes","Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Workers 16 years and over in households","VEHICLES AVAILABLE!!Workers 16 years and over in households!!No vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!1 vehicle available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!2 vehicles available","VEHICLES AVAILABLE!!Workers 16 years and over in households!!3 or more vehicles available","PERCENT ALLOCATED","PERCENT ALLOCATED!!Means of transportation to work","PERCENT ALLOCATED!!Private vehicle occupancy","PERCENT ALLOCATED!!Place of work","PERCENT ALLOCATED!!Time of departure to go to work","PERCENT ALLOCATED!!Travel time to work","PERCENT ALLOCATED!!Vehicles available"
"        Estimate","1,685","","92.7%","82.0%","10.7%","10.1%","0.0%","0.6%","1.06","1.5%","2.6%","0.0%","0.0%","3.3%","","99.3%","99.3%","0.0%","0.7%","100.0%","54.3%","45.7%","0.0%","0.0%","0.0%","0.0%","100.0%","1,630","","1.1%","3.0%","0.8%","13.4%","4.5%","16.6%","5.3%","21.0%","4.7%","29.5%","","7.7%","9.4%","3.4%","15.2%","3.8%","32.0%","8.7%","12.8%","6.9%","29.6","","1,685","3.6%","28.8%","50.1%","17.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±272","","±3.9","±11.5","±10.3","±10.2","±2.1","±1.1","±0.07","±2.2","±2.5","±2.1","±2.1","±3.1","","±1.1","±1.1","±2.1","±1.1","±2.1","±10.9","±10.9","±2.1","±2.1","±2.1","±2.1","±2.1","±266","","±1.8","±3.0","±1.3","±9.5","±4.2","±7.4","±5.3","±9.1","±3.9","±8.7","","±6.8","±5.8","±3.0","±6.8","±3.0","±12.5","±6.1","±7.0","±4.4","±3.3","","±272","±2.8","±12.5","±12.1","±9.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,372","","82.9%","76.4%","6.5%","5.0%","1.5%","0.0%","1.04","3.1%","2.3%","0.0%","6.3%","5.4%","","100.0%","100.0%","0.0%","0.0%","100.0%","53.0%","47.0%","0.0%","0.0%","0.0%","0.0%","100.0%","1,298","","5.3%","3.8%","6.8%","2.2%","11.4%","6.8%","14.9%","9.9%","3.5%","35.4%","","11.9%","9.5%","19.6%","15.5%","6.2%","7.9%","6.4%","7.5%","15.6%","28.5","","1,372","2.3%","35.5%","48.8%","13.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±253","","±9.3","±9.8","±4.7","±4.1","±2.3","±2.5","±0.03","±3.6","±3.6","±2.5","±4.7","±5.3","","±2.5","±2.5","±2.5","±2.5","±2.5","±11.9","±11.9","±2.5","±2.5","±2.5","±2.5","±2.5","±250","","±4.7","±4.4","±4.6","±2.6","±6.3","±5.6","±7.9","±6.5","±4.0","±8.9","","±9.3","±7.8","±8.6","±11.1","±4.6","±5.6","±5.9","±5.7","±7.6","±4.8","","±253","±2.6","±14.8","±13.1","±9.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 1012.20, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,593","","90.3%","83.1%","7.3%","6.9%","0.4%","0.0%","1.04","3.0%","0.5%","0.0%","1.9%","4.3%","","100.0%","97.7%","2.3%","0.0%","100.0%","51.2%","48.8%","0.0%","0.0%","0.0%","0.0%","100.0%","1,525","","4.2%","4.8%","3.5%","11.7%","8.2%","15.4%","11.0%","10.2%","7.0%","24.0%","","3.8%","9.9%","14.5%","16.1%","1.9%","18.0%","19.4%","7.0%","9.4%","29.3","","1,593","2.9%","17.6%","46.5%","33.1%","","16.9%","18.1%","24.2%","35.7%","22.7%","0.0%"
"        Margin of Error","±202","","±5.3","±6.8","±4.2","±4.2","±0.6","±2.2","±0.03","±3.0","±0.8","±2.2","±2.7","±3.0","","±2.2","±1.5","±1.5","±2.2","±2.2","±7.6","±7.6","±2.2","±2.2","±2.2","±2.2","±2.2","±183","","±3.6","±3.7","±2.2","±5.1","±3.3","±5.2","±4.2","±5.0","±3.4","±7.5","","±2.1","±4.0","±5.2","±5.0","±1.6","±5.9","±6.7","±3.9","±4.5","±2.2","","±202","±3.0","±6.4","±9.5","±9.8","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","761","","92.2%","85.4%","6.8%","6.0%","0.8%","0.0%","1.04","5.1%","0.0%","0.0%","2.0%","0.7%","","100.0%","95.3%","4.7%","0.0%","100.0%","51.2%","48.8%","0.0%","0.0%","0.0%","0.0%","100.0%","756","","6.6%","6.5%","2.4%","8.9%","12.7%","20.8%","12.6%","9.9%","3.0%","16.7%","","0.7%","6.7%","14.3%","18.5%","2.5%","20.5%","13.8%","11.1%","11.9%","31.4","","761","6.0%","17.9%","49.0%","27.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±120","","±6.8","±8.9","±4.8","±4.6","±1.3","±4.5","±0.03","±5.8","±4.5","±4.5","±2.8","±1.2","","±4.5","±3.1","±3.1","±4.5","±4.5","±8.7","±8.7","±4.5","±4.5","±4.5","±4.5","±4.5","±120","","±6.7","±5.8","±2.5","±6.3","±5.4","±8.9","±7.2","±6.3","±3.6","±8.4","","±1.0","±5.1","±7.1","±6.8","±2.2","±7.8","±6.9","±6.7","±7.3","±3.6","","±120","±6.0","±7.7","±10.1","±9.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","832","","88.6%","80.9%","7.7%","7.7%","0.0%","0.0%","1.05","1.1%","1.0%","0.0%","1.8%","7.6%","","100.0%","100.0%","0.0%","0.0%","100.0%","51.2%","48.8%","0.0%","0.0%","0.0%","0.0%","100.0%","769","","1.8%","3.1%","4.7%","14.4%","3.8%","10.1%","9.4%","10.5%","10.9%","31.2%","","6.9%","13.0%","14.7%","13.7%","1.3%","15.6%","25.0%","3.0%","6.9%","27.3","","832","0.0%","17.3%","44.1%","38.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±134","","±7.0","±9.5","±5.8","±5.8","±4.1","±4.1","±0.04","±1.7","±1.6","±4.1","±2.6","±6.0","","±4.1","±4.1","±4.1","±4.1","±4.1","±11.8","±11.8","±4.1","±4.1","±4.1","±4.1","±4.1","±127","","±2.8","±4.7","±4.1","±8.1","±4.5","±6.1","±5.7","±7.7","±5.5","±11.1","","±4.2","±8.5","±7.2","±7.9","±2.1","±8.3","±10.2","±2.8","±5.6","±3.6","","±134","±4.1","±8.4","±11.1","±11.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 1013, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,782","","86.3%","81.8%","4.5%","2.1%","2.5%","0.0%","1.03","1.5%","0.0%","0.0%","0.0%","12.2%","","99.0%","97.6%","1.3%","1.0%","100.0%","49.7%","50.3%","0.0%","0.0%","0.0%","0.0%","100.0%","1,564","","1.3%","1.1%","4.7%","1.2%","7.3%","17.3%","19.4%","14.0%","8.2%","25.6%","","3.6%","4.4%","11.7%","18.5%","6.0%","17.6%","10.0%","13.6%","14.6%","33.9","","1,782","1.5%","12.7%","39.3%","46.6%","","12.2%","12.5%","15.7%","21.4%","15.5%","1.9%"
"        Margin of Error","±220","","±4.6","±5.5","±3.5","±2.0","±2.6","±1.9","±0.03","±1.1","±1.9","±1.9","±1.9","±4.4","","±1.2","±1.8","±1.5","±1.2","±1.9","±7.6","±7.6","±1.9","±1.9","±1.9","±1.9","±1.9","±215","","±1.4","±1.2","±3.1","±1.2","±3.4","±5.8","±6.5","±4.8","±4.8","±7.0","","±2.6","±3.3","±5.0","±5.8","±3.8","±4.9","±5.3","±6.4","±6.1","±4.1","","±220","±1.6","±4.9","±10.5","±9.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","876","","83.2%","76.0%","7.2%","3.2%","4.0%","0.0%","1.06","2.1%","0.0%","0.0%","0.0%","14.7%","","99.0%","97.6%","1.4%","1.0%","100.0%","54.3%","45.7%","0.0%","0.0%","0.0%","0.0%","100.0%","747","","2.7%","2.3%","4.3%","0.0%","10.3%","16.3%","19.9%","10.2%","12.6%","21.4%","","3.6%","3.6%","7.8%","19.7%","4.8%","21.7%","12.4%","10.6%","15.8%","33.3","","876","0.9%","17.1%","41.9%","40.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±123","","±7.3","±8.6","±6.2","±2.8","±5.1","±3.9","±0.05","±2.2","±3.9","±3.9","±3.9","±6.8","","±1.6","±2.6","±2.0","±1.6","±3.9","±10.5","±10.5","±3.9","±3.9","±3.9","±3.9","±3.9","±123","","±3.0","±2.6","±3.9","±4.6","±6.9","±8.8","±9.8","±6.4","±8.8","±8.1","","±3.2","±3.2","±6.1","±8.8","±3.9","±9.7","±8.8","±6.8","±7.9","±3.5","","±123","±1.4","±7.2","±12.1","±9.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","906","","89.3%","87.3%","2.0%","1.0%","1.0%","0.0%","1.01","0.9%","0.0%","0.0%","0.0%","9.8%","","99.0%","97.7%","1.3%","1.0%","100.0%","45.3%","54.7%","0.0%","0.0%","0.0%","0.0%","100.0%","817","","0.0%","0.0%","5.1%","2.2%","4.5%","18.1%","18.8%","17.5%","4.3%","29.4%","","3.7%","5.1%","15.3%","17.4%","7.1%","13.8%","7.7%","16.3%","13.6%","34.5","","906","2.0%","8.4%","36.8%","52.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±142","","±5.2","±5.6","±2.3","±1.6","±1.6","±3.8","±0.02","±1.5","±3.8","±3.8","±3.8","±5.0","","±1.7","±2.7","±2.1","±1.7","±3.8","±11.0","±11.0","±3.8","±3.8","±3.8","±3.8","±3.8","±141","","±4.2","±4.2","±5.1","±2.3","±3.8","±8.3","±8.4","±9.8","±4.6","±11.5","","±4.2","±4.1","±7.8","±9.1","±6.7","±8.0","±6.1","±8.2","±9.1","±6.8","","±142","±2.3","±4.3","±10.4","±10.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 1014, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,553","","89.6%","73.3%","16.3%","9.6%","5.3%","1.4%","1.12","2.8%","0.0%","0.0%","1.8%","5.7%","","100.0%","95.6%","4.4%","0.0%","100.0%","50.7%","49.3%","0.0%","0.0%","0.0%","0.0%","100.0%","1,464","","6.8%","4.7%","4.8%","7.5%","4.3%","20.9%","10.3%","17.6%","1.4%","21.7%","","8.8%","4.8%","12.6%","10.2%","5.8%","11.5%","10.2%","18.1%","17.9%","38.0","","1,541","4.4%","12.7%","50.2%","32.7%","","16.6%","21.5%","20.7%","32.3%","29.5%","0.0%"
"        Margin of Error","±231","","±5.2","±7.6","±5.8","±4.4","±4.6","±1.9","±0.05","±3.2","±2.2","±2.2","±1.5","±3.8","","±2.2","±4.3","±4.3","±2.2","±2.2","±7.9","±7.9","±2.2","±2.2","±2.2","±2.2","±2.2","±223","","±5.0","±3.7","±2.8","±4.4","±2.7","±6.6","±4.9","±7.1","±1.5","±6.8","","±5.7","±2.6","±5.3","±4.7","±4.6","±5.1","±6.3","±6.2","±5.7","±4.9","","±235","±3.6","±6.0","±9.6","±10.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","842","","94.1%","80.0%","14.0%","9.4%","2.1%","2.5%","1.10","0.0%","0.0%","0.0%","2.0%","3.9%","","100.0%","91.9%","8.1%","0.0%","100.0%","46.1%","53.9%","0.0%","0.0%","0.0%","0.0%","100.0%","809","","12.2%","5.8%","3.8%","10.1%","5.1%","20.3%","9.5%","12.5%","1.0%","19.7%","","7.8%","4.9%","10.6%","7.0%","7.0%","10.3%","9.0%","22.6%","20.6%","40.0","","842","3.4%","13.5%","49.4%","33.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±163","","±4.3","±7.7","±6.6","±5.9","±2.5","±3.4","±0.05","±4.1","±4.1","±4.1","±2.3","±3.6","","±4.1","±7.8","±7.8","±4.1","±4.1","±11.1","±11.1","±4.1","±4.1","±4.1","±4.1","±4.1","±164","","±8.5","±4.9","±3.5","±7.1","±3.9","±7.1","±5.6","±8.1","±1.7","±8.4","","±7.9","±4.0","±7.1","±4.5","±7.7","±6.0","±5.2","±9.7","±8.2","±5.6","","±163","±3.4","±8.0","±12.3","±11.9","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","711","","84.4%","65.4%","19.0%","9.8%","9.1%","0.0%","1.15","6.2%","0.0%","0.0%","1.5%","7.9%","","100.0%","100.0%","0.0%","0.0%","100.0%","56.1%","43.9%","0.0%","0.0%","0.0%","0.0%","100.0%","655","","0.0%","3.4%","6.0%","4.3%","3.4%","21.7%","11.3%","24.0%","2.0%","24.1%","","10.1%","4.7%","15.1%","14.0%","4.3%","13.0%","11.8%","12.5%","14.5%","35.5","","699","5.6%","11.6%","51.2%","31.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±146","","±9.6","±12.8","±9.6","±6.0","±8.2","±4.8","±0.09","±7.0","±4.8","±4.8","±1.7","±7.0","","±4.8","±4.8","±4.8","±4.8","±4.8","±11.7","±11.7","±4.8","±4.8","±4.8","±4.8","±4.8","±147","","±5.2","±3.9","±4.7","±4.0","±5.0","±10.5","±7.5","±10.6","±2.7","±11.8","","±8.3","±3.8","±8.8","±8.4","±4.0","±7.0","±9.6","±7.6","±9.3","±8.5","","±150","±6.7","±8.0","±12.4","±11.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 1021.03, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","831","","85.9%","76.1%","9.9%","7.2%","0.7%","1.9%","1.07","1.3%","3.5%","0.0%","1.7%","7.6%","","100.0%","97.2%","2.8%","0.0%","100.0%","47.2%","52.8%","0.0%","0.0%","0.0%","0.0%","100.0%","768","","2.3%","3.6%","0.0%","4.3%","8.3%","17.3%","10.4%","11.5%","12.8%","29.4%","","7.6%","5.6%","15.8%","10.8%","14.8%","29.6%","3.9%","4.0%","7.9%","26.6","","831","0.0%","23.7%","30.6%","45.7%","","12.5%","16.4%","20.2%","28.3%","18.0%","1.3%"
"        Margin of Error","±150","","±6.4","±9.2","±7.1","±6.0","±1.5","±2.9","±0.06","±2.2","±4.2","±4.1","±2.8","±5.1","","±4.1","±4.2","±4.2","±4.1","±4.1","±12.9","±12.9","±4.1","±4.1","±4.1","±4.1","±4.1","±158","","±3.4","±4.1","±4.5","±3.7","±5.6","±8.6","±5.9","±5.8","±8.6","±10.8","","±5.4","±4.0","±7.4","±6.2","±5.8","±7.4","±4.2","±3.3","±4.8","±2.8","","±150","±4.1","±9.1","±11.4","±13.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","477","","80.7%","72.1%","8.6%","5.7%","1.3%","1.7%","1.07","2.3%","6.1%","0.0%","0.0%","10.9%","","100.0%","95.2%","4.8%","0.0%","100.0%","52.4%","47.6%","0.0%","0.0%","0.0%","0.0%","100.0%","425","","4.2%","6.6%","0.0%","4.5%","8.7%","13.6%","11.5%","6.1%","18.6%","26.1%","","9.9%","2.4%","20.5%","10.8%","11.3%","25.4%","1.9%","3.5%","14.4%","28.0","","477","0.0%","21.8%","25.4%","52.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±131","","±9.2","±10.4","±6.7","±5.5","±2.7","±2.7","±0.06","±3.9","±6.9","±7.1","±7.1","±8.4","","±7.1","±6.9","±6.9","±7.1","±7.1","±16.5","±16.5","±7.1","±7.1","±7.1","±7.1","±7.1","±133","","±5.8","±7.7","±7.9","±4.5","±7.8","±9.9","±8.3","±5.2","±13.6","±13.8","","±7.6","±2.6","±12.4","±8.7","±8.1","±10.7","±3.0","±4.1","±8.8","±4.6","","±131","±7.1","±12.5","±12.5","±16.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","354","","92.9%","81.4%","11.6%","9.3%","0.0%","2.3%","1.08","0.0%","0.0%","0.0%","4.0%","3.1%","","100.0%","100.0%","0.0%","0.0%","100.0%","40.1%","59.9%","0.0%","0.0%","0.0%","0.0%","100.0%","343","","0.0%","0.0%","0.0%","4.1%","7.9%","21.9%","9.0%","18.1%","5.5%","33.5%","","4.7%","9.6%","9.9%","10.8%","19.2%","34.7%","6.4%","4.7%","0.0%","24.8","","354","0.0%","26.3%","37.6%","36.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±79","","±6.9","±13.0","±11.7","±11.2","±9.4","±3.3","±0.08","±9.4","±9.4","±9.4","±6.1","±2.9","","±9.4","±9.4","±9.4","±9.4","±9.4","±16.7","±16.7","±9.4","±9.4","±9.4","±9.4","±9.4","±79","","±9.7","±9.7","±9.7","±5.8","±8.1","±11.7","±8.9","±10.6","±6.2","±15.2","","±6.2","±7.7","±8.3","±9.1","±12.6","±12.8","±6.9","±4.6","±9.7","±2.6","","±79","±9.4","±11.8","±11.8","±13.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 1021.04, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,640","","76.1%","68.2%","7.9%","5.2%","0.4%","2.2%","1.06","2.0%","2.8%","0.4%","0.0%","18.7%","","100.0%","98.1%","1.9%","0.0%","100.0%","62.7%","37.3%","0.0%","0.0%","0.0%","0.0%","100.0%","1,333","","2.0%","2.7%","1.7%","8.6%","1.7%","13.2%","15.8%","20.0%","8.9%","25.6%","","8.5%","11.9%","19.1%","13.9%","6.4%","13.8%","6.1%","9.5%","11.0%","28.3","","1,562","4.4%","13.2%","43.5%","38.9%","","23.0%","22.4%","21.5%","29.6%","28.8%","2.6%"
"        Margin of Error","±275","","±8.1","±8.3","±4.6","±4.1","±0.8","±2.8","±0.04","±2.0","±2.3","±0.7","±2.1","±7.7","","±2.1","±2.2","±2.2","±2.1","±2.1","±8.3","±8.3","±2.1","±2.1","±2.1","±2.1","±2.1","±262","","±2.5","±2.5","±2.7","±5.0","±1.6","±7.5","±6.0","±8.0","±4.4","±9.4","","±5.5","±7.9","±7.2","±7.0","±4.4","±6.6","±4.7","±5.3","±6.3","±4.1","","±272","±5.4","±6.8","±11.1","±11.1","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","793","","71.8%","67.6%","4.2%","0.3%","0.0%","3.9%","1.04","2.8%","3.0%","0.8%","0.0%","21.7%","","100.0%","98.4%","1.6%","0.0%","100.0%","62.5%","37.5%","0.0%","0.0%","0.0%","0.0%","100.0%","621","","4.2%","5.8%","2.7%","5.0%","1.4%","11.4%","12.1%","22.4%","9.7%","25.3%","","5.2%","8.2%","21.9%","14.5%","9.0%","12.4%","7.6%","13.8%","7.4%","27.0","","774","3.7%","12.4%","49.5%","34.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±148","","±13.9","±11.7","±5.7","±0.9","±4.3","±5.5","±0.06","±3.7","±4.1","±1.4","±4.3","±12.0","","±4.3","±2.7","±2.7","±4.3","±4.3","±12.5","±12.5","±4.3","±4.3","±4.3","±4.3","±4.3","±170","","±5.1","±5.2","±5.1","±7.5","±2.4","±10.1","±8.3","±11.9","±6.2","±11.4","","±4.4","±7.9","±10.9","±9.7","±8.0","±8.4","±7.7","±9.4","±5.4","±3.7","","±148","±5.3","±8.5","±12.5","±12.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","847","","80.2%","68.8%","11.3%","9.9%","0.8%","0.6%","1.08","1.3%","2.6%","0.0%","0.0%","15.9%","","100.0%","97.9%","2.1%","0.0%","100.0%","62.9%","37.1%","0.0%","0.0%","0.0%","0.0%","100.0%","712","","0.0%","0.0%","0.7%","11.7%","1.8%","14.7%","19.1%","18.0%","8.1%","25.8%","","11.4%","15.0%","16.6%","13.3%","4.1%","15.0%","4.8%","5.6%","14.2%","29.3","","788","5.1%","14.0%","37.7%","43.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","±231","","±8.0","±8.4","±8.1","±8.1","±1.5","±1.2","±0.06","±2.0","±2.9","±4.0","±4.0","±7.9","","±4.0","±3.6","±3.6","±4.0","±4.0","±12.5","±12.5","±4.0","±4.0","±4.0","±4.0","±4.0","±184","","±4.8","±4.8","±1.4","±7.4","±2.4","±7.8","±9.6","±10.1","±5.9","±12.3","","±8.6","±9.7","±8.8","±8.7","±5.0","±9.1","±4.5","±5.2","±9.5","±6.8","","±226","±5.8","±8.4","±13.4","±15.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"Census Tract 1021.05, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
